Id,RelatedPostId,PostId,LinkTypeId,CreationDate
159449,16689,18759,1,2017-05-05T05:05:36.497
160165,5706,18810,1,2017-05-07T10:53:26.297
160663,16115,18829,1,2017-05-08T23:09:50.187
160713,18374,18842,1,2017-05-09T03:46:56.973
161208,6691,10211,1,2017-05-10T15:55:34.203
161466,10063,761,1,2017-05-11T11:41:06.187
162476,18934,18963,1,2017-05-14T15:57:34.433
162569,9663,18965,1,2017-05-15T05:42:18.887
162580,18965,18967,1,2017-05-15T05:51:51.740
162636,14972,18970,1,2017-05-15T10:34:02.930
162647,758,18970,1,2017-05-15T10:47:40.880
162815,9074,18982,1,2017-05-15T19:30:03.940
163003,9663,18965,3,2017-05-16T08:49:22.933
163084,10970,19002,1,2017-05-16T12:16:45.617
163179,18940,19010,1,2017-05-16T17:16:50.230
163312,18986,19019,1,2017-05-17T04:33:17.987
163377,17241,19020,1,2017-05-17T09:04:11.807
163658,19040,19037,1,2017-05-17T21:33:39.217
163764,19040,19037,3,2017-05-18T09:25:05.727
164022,13754,19073,1,2017-05-19T05:34:16.257
164397,12649,19096,1,2017-05-20T04:29:50.023
164398,16292,19096,1,2017-05-20T04:29:50.023
165184,10216,19127,1,2017-05-23T00:04:38.397
165262,19070,19131,1,2017-05-23T06:32:45.837
165892,10471,19174,1,2017-05-24T09:03:06.873
166705,10216,19107,1,2017-05-26T14:58:14.110
167056,10085,19268,1,2017-05-27T19:16:24.263
168054,13490,19283,1,2017-05-30T15:20:58.570
168910,1253,19400,1,2017-06-01T19:09:20.217
169270,9722,19430,1,2017-06-02T17:52:18.740
169271,6553,19430,1,2017-06-02T17:52:18.740
169311,10216,19430,1,2017-06-02T18:20:34.443
171452,19452,19521,1,2017-06-09T04:38:04.297
171502,5706,19578,1,2017-06-09T06:59:57.197
171956,6107,19597,1,2017-06-10T10:49:25.630
172519,19625,19631,1,2017-06-11T18:34:29.853
174987,19601,19792,1,2017-06-17T18:54:16.317
175122,19601,19792,3,2017-06-18T08:05:22.720
176114,10193,19865,1,2017-06-20T22:32:53.760
176516,11091,19894,1,2017-06-21T20:16:45.803
